#    L    TT             EE             TE             PP             TP          
    74    0.19126E+04    0.36270E+00   -0.75378E+01    0.50554E+07    0.93108E+04
    75    0.19375E+04    0.37592E+00   -0.80188E+01    0.50256E+07    0.91775E+04
    76    0.19627E+04    0.38932E+00   -0.85105E+01    0.49957E+07    0.90471E+04
    77    0.19883E+04    0.40289E+00   -0.90126E+01    0.49658E+07    0.89191E+04
    78    0.20142E+04    0.41664E+00   -0.95266E+01    0.49359E+07    0.87928E+04
    79    0.20403E+04    0.43053E+00   -0.10049E+02    0.49059E+07    0.86677E+04
    80    0.20667E+04    0.44455E+00   -0.10580E+02    0.48759E+07    0.85432E+04
    81    0.20932E+04    0.45866E+00   -0.11121E+02    0.48459E+07    0.84189E+04
    82    0.21200E+04    0.47289E+00   -0.11672E+02    0.48160E+07    0.82954E+04
    83    0.21470E+04    0.48719E+00   -0.12230E+02    0.47861E+07    0.81734E+04
    84    0.21742E+04    0.50158E+00   -0.12795E+02    0.47563E+07    0.80536E+04
    85    0.22016E+04    0.51603E+00   -0.13368E+02    0.47265E+07    0.79369E+04
    86    0.22292E+04    0.53054E+00   -0.13947E+02    0.46969E+07    0.78236E+04
    87    0.22572E+04    0.54509E+00   -0.14532E+02    0.46673E+07    0.77138E+04
    88    0.22851E+04    0.55970E+00   -0.15122E+02    0.46378E+07    0.76072E+04
    89    0.23134E+04    0.57435E+00   -0.15720E+02    0.46084E+07    0.75036E+04
    90    0.23420E+04    0.58899E+00   -0.16322E+02    0.45792E+07    0.74026E+04
    91    0.23706E+04    0.60364E+00   -0.16930E+02    0.45500E+07    0.73042E+04
    92    0.23996E+04    0.61826E+00   -0.17542E+02    0.45210E+07    0.72080E+04
    93    0.24288E+04    0.63285E+00   -0.18159E+02    0.44921E+07    0.71142E+04
    94    0.24581E+04    0.64739E+00   -0.18780E+02    0.44634E+07    0.70225E+04
    95    0.24876E+04    0.66186E+00   -0.19404E+02    0.44347E+07    0.69330E+04
    96    0.25172E+04    0.67625E+00   -0.20032E+02    0.44062E+07    0.68455E+04
    97    0.25472E+04    0.69056E+00   -0.20662E+02    0.43779E+07    0.67600E+04
    98    0.25774E+04    0.70476E+00   -0.21293E+02    0.43497E+07    0.66764E+04
    99    0.26077E+04    0.71884E+00   -0.21927E+02    0.43216E+07    0.65946E+04
   100    0.26382E+04    0.73278E+00   -0.22560E+02    0.42937E+07    0.65145E+04
   101    0.26689E+04    0.74665E+00   -0.23195E+02    0.42659E+07    0.64361E+04
   102    0.27001E+04    0.76030E+00   -0.23830E+02    0.42383E+07    0.63593E+04
   103    0.27313E+04    0.77380E+00   -0.24466E+02    0.42109E+07    0.62840E+04
   104    0.27626E+04    0.78716E+00   -0.25099E+02    0.41836E+07    0.62102E+04
   105    0.27941E+04    0.80030E+00   -0.25731E+02    0.41564E+07    0.61377E+04
   106    0.28258E+04    0.81330E+00   -0.26362E+02    0.41295E+07    0.60664E+04
   107    0.28575E+04    0.82600E+00   -0.26989E+02    0.41027E+07    0.59964E+04
   108    0.28895E+04    0.83849E+00   -0.27615E+02    0.40761E+07    0.59275E+04
   109    0.29216E+04    0.85070E+00   -0.28237E+02    0.40496E+07    0.58597E+04
   110    0.29538E+04    0.86261E+00   -0.28853E+02    0.40234E+07    0.57928E+04
   111    0.29862E+04    0.87431E+00   -0.29467E+02    0.39973E+07    0.57269E+04
   112    0.30187E+04    0.88572E+00   -0.30075E+02    0.39714E+07    0.56618E+04
   113    0.30515E+04    0.89684E+00   -0.30678E+02    0.39457E+07    0.55976E+04
   114    0.30843E+04    0.90761E+00   -0.31274E+02    0.39201E+07    0.55344E+04
   115    0.31173E+04    0.91816E+00   -0.31864E+02    0.38948E+07    0.54720E+04
   116    0.31504E+04    0.92827E+00   -0.32446E+02    0.38696E+07    0.54105E+04
   117    0.31837E+04    0.93803E+00   -0.33020E+02    0.38446E+07    0.53499E+04
   118    0.32172E+04    0.94757E+00   -0.33587E+02    0.38198E+07    0.52902E+04
   119    0.32506E+04    0.95676E+00   -0.34144E+02    0.37952E+07    0.52314E+04
   120    0.32842E+04    0.96543E+00   -0.34691E+02    0.37708E+07    0.51735E+04
   121    0.33178E+04    0.97390E+00   -0.35228E+02    0.37465E+07    0.51165E+04
   122    0.33514E+04    0.98186E+00   -0.35755E+02    0.37224E+07    0.50604E+04
   123    0.33851E+04    0.98939E+00   -0.36271E+02    0.36986E+07    0.50052E+04
   124    0.34189E+04    0.99655E+00   -0.36774E+02    0.36749E+07    0.49509E+04
   125    0.34527E+04    0.10033E+01   -0.37266E+02    0.36513E+07    0.48975E+04
   126    0.34865E+04    0.10097E+01   -0.37746E+02    0.36280E+07    0.48450E+04
   127    0.35203E+04    0.10155E+01   -0.38212E+02    0.36048E+07    0.47934E+04
   128    0.35541E+04    0.10211E+01   -0.38666E+02    0.35819E+07    0.47427E+04
   129    0.35879E+04    0.10261E+01   -0.39105E+02    0.35591E+07    0.46929E+04
   130    0.36217E+04    0.10306E+01   -0.39529E+02    0.35365E+07    0.46440E+04
   131    0.36555E+04    0.10347E+01   -0.39939E+02    0.35141E+07    0.45960E+04
   132    0.36894E+04    0.10384E+01   -0.40332E+02    0.34918E+07    0.45488E+04
   133    0.37232E+04    0.10416E+01   -0.40712E+02    0.34698E+07    0.45025E+04
   134    0.37569E+04    0.10444E+01   -0.41073E+02    0.34479E+07    0.44570E+04
   135    0.37906E+04    0.10467E+01   -0.41418E+02    0.34262E+07    0.44123E+04
