#    L    TT             EE             TE             PP             TP          
   552    0.24752E+04    0.77801E+01    0.32580E+01    0.62000E+06    0.44422E+02
   553    0.24718E+04    0.79060E+01    0.44095E+01    0.61816E+06    0.44739E+02
   554    0.24682E+04    0.80385E+01    0.55466E+01    0.61633E+06    0.45072E+02
   555    0.24644E+04    0.81754E+01    0.66685E+01    0.61451E+06    0.45421E+02
   556    0.24603E+04    0.83173E+01    0.77749E+01    0.61270E+06    0.45784E+02
   557    0.24561E+04    0.84636E+01    0.88641E+01    0.61089E+06    0.46163E+02
   558    0.24517E+04    0.86158E+01    0.99367E+01    0.60909E+06    0.46557E+02
   559    0.24471E+04    0.87716E+01    0.10992E+02    0.60730E+06    0.46966E+02
   560    0.24424E+04    0.89317E+01    0.12028E+02    0.60552E+06    0.47389E+02
   561    0.24373E+04    0.90970E+01    0.13046E+02    0.60374E+06    0.47826E+02
   562    0.24322E+04    0.92674E+01    0.14044E+02    0.60197E+06    0.48278E+02
   563    0.24268E+04    0.94414E+01    0.15024E+02    0.60021E+06    0.48743E+02
   564    0.24214E+04    0.96213E+01    0.15980E+02    0.59845E+06    0.49223E+02
   565    0.24157E+04    0.98041E+01    0.16917E+02    0.59671E+06    0.49715E+02
   566    0.24098E+04    0.99921E+01    0.17831E+02    0.59497E+06    0.50222E+02
   567    0.24038E+04    0.10184E+02    0.18723E+02    0.59323E+06    0.50741E+02
   568    0.23977E+04    0.10380E+02    0.19592E+02    0.59151E+06    0.51274E+02
   569    0.23913E+04    0.10582E+02    0.20440E+02    0.58979E+06    0.51819E+02
   570    0.23849E+04    0.10786E+02    0.21261E+02    0.58808E+06    0.52377E+02
   571    0.23782E+04    0.10996E+02    0.22058E+02    0.58637E+06    0.52947E+02
   572    0.23713E+04    0.11209E+02    0.22831E+02    0.58468E+06    0.53530E+02
   573    0.23644E+04    0.11425E+02    0.23578E+02    0.58298E+06    0.54125E+02
   574    0.23574E+04    0.11646E+02    0.24299E+02    0.58130E+06    0.54731E+02
   575    0.23502E+04    0.11870E+02    0.24994E+02    0.57963E+06    0.55350E+02
   576    0.23429E+04    0.12099E+02    0.25663E+02    0.57796E+06    0.55980E+02
   577    0.23354E+04    0.12331E+02    0.26304E+02    0.57629E+06    0.56621E+02
   578    0.23278E+04    0.12566E+02    0.26918E+02    0.57464E+06    0.57273E+02
   579    0.23201E+04    0.12806E+02    0.27505E+02    0.57299E+06    0.57936E+02
   580    0.23124E+04    0.13048E+02    0.28062E+02    0.57135E+06    0.58610E+02
   581    0.23043E+04    0.13294E+02    0.28591E+02    0.56971E+06    0.59294E+02
   582    0.22963E+04    0.13543E+02    0.29092E+02    0.56808E+06    0.59989E+02
   583    0.22881E+04    0.13795E+02    0.29562E+02    0.56646E+06    0.60694E+02
   584    0.22799E+04    0.14051E+02    0.30004E+02    0.56485E+06    0.61409E+02
   585    0.22716E+04    0.14309E+02    0.30415E+02    0.56324E+06    0.62134E+02
   586    0.22632E+04    0.14569E+02    0.30796E+02    0.56163E+06    0.62868E+02
   587    0.22547E+04    0.14834E+02    0.31146E+02    0.56004E+06    0.63612E+02
   588    0.22461E+04    0.15100E+02    0.31465E+02    0.55845E+06    0.64365E+02
   589    0.22374E+04    0.15370E+02    0.31754E+02    0.55687E+06    0.65127E+02
   590    0.22287E+04    0.15641E+02    0.32012E+02    0.55529E+06    0.65898E+02
   591    0.22199E+04    0.15916E+02    0.32238E+02    0.55372E+06    0.66678E+02
   592    0.22111E+04    0.16191E+02    0.32431E+02    0.55216E+06    0.67466E+02
   593    0.22021E+04    0.16471E+02    0.32595E+02    0.55060E+06    0.68263E+02
   594    0.21930E+04    0.16752E+02    0.32724E+02    0.54905E+06    0.69067E+02
   595    0.21839E+04    0.17033E+02    0.32823E+02    0.54751E+06    0.69879E+02
   596    0.21749E+04    0.17319E+02    0.32889E+02    0.54597E+06    0.70700E+02
   597    0.21658E+04    0.17604E+02    0.32923E+02    0.54444E+06    0.71527E+02
   598    0.21568E+04    0.17892E+02    0.32924E+02    0.54291E+06    0.72362E+02
   599    0.21477E+04    0.18181E+02    0.32893E+02    0.54139E+06    0.73204E+02
   600    0.21385E+04    0.18472E+02    0.32829E+02    0.53988E+06    0.74053E+02
   601    0.21293E+04    0.18765E+02    0.32732E+02    0.53837E+06    0.74909E+02
   602    0.21201E+04    0.19058E+02    0.32602E+02    0.53687E+06    0.75772E+02
   603    0.21108E+04    0.19353E+02    0.32441E+02    0.53538E+06    0.76640E+02
   604    0.21016E+04    0.19648E+02    0.32247E+02    0.53389E+06    0.77515E+02
   605    0.20924E+04    0.19944E+02    0.32019E+02    0.53241E+06    0.78396E+02
   606    0.20832E+04    0.20241E+02    0.31759E+02    0.53093E+06    0.79283E+02
   607    0.20738E+04    0.20539E+02    0.31466E+02    0.52946E+06    0.80176E+02
   608    0.20646E+04    0.20838E+02    0.31141E+02    0.52799E+06    0.81073E+02
   609    0.20555E+04    0.21136E+02    0.30782E+02    0.52654E+06    0.81976E+02
   610    0.20463E+04    0.21434E+02    0.30391E+02    0.52508E+06    0.82884E+02
   611    0.20372E+04    0.21733E+02    0.29968E+02    0.52363E+06    0.83797E+02
   612    0.20281E+04    0.22033E+02    0.29513E+02    0.52219E+06    0.84714E+02
   613    0.20190E+04    0.22330E+02    0.29024E+02    0.52076E+06    0.85636E+02
   614    0.20099E+04    0.22629E+02    0.28504E+02    0.51933E+06    0.86562E+02
   615    0.20009E+04    0.22926E+02    0.27951E+02    0.51790E+06    0.87492E+02
   616    0.19920E+04    0.23224E+02    0.27368E+02    0.51649E+06    0.88426E+02
   617    0.19832E+04    0.23522E+02    0.26752E+02    0.51507E+06    0.89363E+02
   618    0.19743E+04    0.23819E+02    0.26105E+02    0.51367E+06    0.90304E+02
   619    0.19655E+04    0.24116E+02    0.25427E+02    0.51226E+06    0.91248E+02
   620    0.19569E+04    0.24411E+02    0.24719E+02    0.51087E+06    0.92195E+02
   621    0.19482E+04    0.24705E+02    0.23979E+02    0.50948E+06    0.93145E+02
   622    0.19397E+04    0.24999E+02    0.23208E+02    0.50809E+06    0.94098E+02
   623    0.19313E+04    0.25290E+02    0.22409E+02    0.50671E+06    0.95053E+02
   624    0.19228E+04    0.25580E+02    0.21579E+02    0.50534E+06    0.96010E+02
   625    0.19145E+04    0.25868E+02    0.20719E+02    0.50397E+06    0.96969E+02
   626    0.19063E+04    0.26156E+02    0.19830E+02    0.50261E+06    0.97930E+02
   627    0.18982E+04    0.26441E+02    0.18912E+02    0.50125E+06    0.98893E+02
   628    0.18902E+04    0.26724E+02    0.17966E+02    0.49990E+06    0.99857E+02
   629    0.18823E+04    0.27005E+02    0.16991E+02    0.49855E+06    0.10082E+03
   630    0.18745E+04    0.27285E+02    0.15987E+02    0.49721E+06    0.10179E+03
   631    0.18668E+04    0.27562E+02    0.14957E+02    0.49588E+06    0.10276E+03
   632    0.18592E+04    0.27836E+02    0.13899E+02    0.49455E+06    0.10372E+03
   633    0.18517E+04    0.28109E+02    0.12815E+02    0.49322E+06    0.10469E+03
   634    0.18444E+04    0.28378E+02    0.11704E+02    0.49190E+06    0.10566E+03
   635    0.18372E+04    0.28646E+02    0.10568E+02    0.49058E+06    0.10663E+03
   636    0.18301E+04    0.28911E+02    0.94070E+01    0.48928E+06    0.10760E+03
   637    0.18231E+04    0.29172E+02    0.82200E+01    0.48797E+06    0.10857E+03
   638    0.18163E+04    0.29431E+02    0.70094E+01    0.48667E+06    0.10954E+03
   639    0.18096E+04    0.29686E+02    0.57742E+01    0.48538E+06    0.11050E+03
   640    0.18031E+04    0.29939E+02    0.45159E+01    0.48409E+06    0.11147E+03
   641    0.17967E+04    0.30189E+02    0.32344E+01    0.48280E+06    0.11243E+03
   642    0.17904E+04    0.30434E+02    0.19306E+01    0.48152E+06    0.11340E+03
   643    0.17843E+04    0.30678E+02    0.60494E+00    0.48025E+06    0.11436E+03
   644    0.17784E+04    0.30915E+02   -0.74203E+00    0.47898E+06    0.11532E+03
   645    0.17725E+04    0.31150E+02   -0.21100E+01    0.47772E+06    0.11628E+03
   646    0.17669E+04    0.31382E+02   -0.34984E+01    0.47646E+06    0.11724E+03
   647    0.17615E+04    0.31609E+02   -0.49069E+01    0.47520E+06    0.11819E+03
   648    0.17561E+04    0.31833E+02   -0.63339E+01    0.47395E+06    0.11914E+03
   649    0.17509E+04    0.32052E+02   -0.77799E+01    0.47271E+06    0.12009E+03
   650    0.17460E+04    0.32267E+02   -0.92436E+01    0.47147E+06    0.12104E+03
   651    0.17411E+04    0.32479E+02   -0.10725E+02    0.47023E+06    0.12198E+03
   652    0.17364E+04    0.32686E+02   -0.12223E+02    0.46900E+06    0.12292E+03
   653    0.17320E+04    0.32887E+02   -0.13737E+02    0.46778E+06    0.12386E+03
   654    0.17277E+04    0.33085E+02   -0.15266E+02    0.46656E+06    0.12479E+03
   655    0.17235E+04    0.33279E+02   -0.16810E+02    0.46534E+06    0.12572E+03
   656    0.17196E+04    0.33468E+02   -0.18368E+02    0.46413E+06    0.12665E+03
   657    0.17158E+04    0.33652E+02   -0.19939E+02    0.46292E+06    0.12757E+03
   658    0.17121E+04    0.33832E+02   -0.21523E+02    0.46172E+06    0.12849E+03
   659    0.17088E+04    0.34006E+02   -0.23120E+02    0.46052E+06    0.12940E+03
   660    0.17056E+04    0.34175E+02   -0.24727E+02    0.45933E+06    0.13031E+03
   661    0.17026E+04    0.34340E+02   -0.26344E+02    0.45814E+06    0.13122E+03
   662    0.16998E+04    0.34500E+02   -0.27973E+02    0.45696E+06    0.13212E+03
   663    0.16971E+04    0.34655E+02   -0.29611E+02    0.45578E+06    0.13302E+03
   664    0.16946E+04    0.34803E+02   -0.31257E+02    0.45460E+06    0.13391E+03
   665    0.16923E+04    0.34947E+02   -0.32911E+02    0.45343E+06    0.13480E+03
   666    0.16902E+04    0.35085E+02   -0.34572E+02    0.45227E+06    0.13568E+03
   667    0.16883E+04    0.35218E+02   -0.36240E+02    0.45111E+06    0.13656E+03
   668    0.16865E+04    0.35346E+02   -0.37915E+02    0.44995E+06    0.13744E+03
   669    0.16850E+04    0.35468E+02   -0.39594E+02    0.44880E+06    0.13830E+03
   670    0.16837E+04    0.35585E+02   -0.41276E+02    0.44765E+06    0.13917E+03
   671    0.16826E+04    0.35697E+02   -0.42963E+02    0.44651E+06    0.14003E+03
   672    0.16816E+04    0.35802E+02   -0.44653E+02    0.44537E+06    0.14088E+03
   673    0.16808E+04    0.35903E+02   -0.46345E+02    0.44423E+06    0.14173E+03
   674    0.16803E+04    0.35998E+02   -0.48038E+02    0.44310E+06    0.14257E+03
   675    0.16799E+04    0.36087E+02   -0.49733E+02    0.44197E+06    0.14340E+03
   676    0.16797E+04    0.36170E+02   -0.51427E+02    0.44085E+06    0.14423E+03
   677    0.16797E+04    0.36247E+02   -0.53120E+02    0.43973E+06    0.14506E+03
   678    0.16799E+04    0.36318E+02   -0.54812E+02    0.43862E+06    0.14587E+03
   679    0.16803E+04    0.36384E+02   -0.56502E+02    0.43751E+06    0.14669E+03
   680    0.16810E+04    0.36444E+02   -0.58190E+02    0.43640E+06    0.14749E+03
   681    0.16818E+04    0.36498E+02   -0.59872E+02    0.43530E+06    0.14829E+03
   682    0.16828E+04    0.36545E+02   -0.61552E+02    0.43421E+06    0.14908E+03
   683    0.16840E+04    0.36588E+02   -0.63228E+02    0.43311E+06    0.14987E+03
   684    0.16854E+04    0.36623E+02   -0.64898E+02    0.43202E+06    0.15065E+03
   685    0.16868E+04    0.36653E+02   -0.66562E+02    0.43094E+06    0.15142E+03
   686    0.16885E+04    0.36676E+02   -0.68211E+02    0.42986E+06    0.15218E+03
   687    0.16905E+04    0.36695E+02   -0.69856E+02    0.42878E+06    0.15294E+03
   688    0.16926E+04    0.36706E+02   -0.71495E+02    0.42771E+06    0.15369E+03
   689    0.16949E+04    0.36712E+02   -0.73121E+02    0.42664E+06    0.15443E+03
   690    0.16973E+04    0.36713E+02   -0.74741E+02    0.42557E+06    0.15517E+03
   691    0.17000E+04    0.36705E+02   -0.76348E+02    0.42451E+06    0.15590E+03
   692    0.17028E+04    0.36694E+02   -0.77941E+02    0.42346E+06    0.15662E+03
   693    0.17059E+04    0.36676E+02   -0.79529E+02    0.42240E+06    0.15733E+03
   694    0.17090E+04    0.36651E+02   -0.81096E+02    0.42135E+06    0.15804E+03
   695    0.17124E+04    0.36622E+02   -0.82649E+02    0.42031E+06    0.15873E+03
   696    0.17159E+04    0.36586E+02   -0.84205E+02    0.41927E+06    0.15942E+03
   697    0.17196E+04    0.36544E+02   -0.85732E+02    0.41823E+06    0.16010E+03
   698    0.17235E+04    0.36496E+02   -0.87247E+02    0.41719E+06    0.16077E+03
   699    0.17275E+04    0.36443E+02   -0.88740E+02    0.41616E+06    0.16144E+03
   700    0.17317E+04    0.36383E+02   -0.90221E+02    0.41514E+06    0.16209E+03
   701    0.17361E+04    0.36317E+02   -0.91689E+02    0.41411E+06    0.16274E+03
   702    0.17406E+04    0.36247E+02   -0.93128E+02    0.41309E+06    0.16338E+03
   703    0.17453E+04    0.36170E+02   -0.94570E+02    0.41208E+06    0.16401E+03
   704    0.17502E+04    0.36088E+02   -0.95976E+02    0.41107E+06    0.16463E+03
   705    0.17551E+04    0.35999E+02   -0.97361E+02    0.41006E+06    0.16524E+03
   706    0.17602E+04    0.35905E+02   -0.98734E+02    0.40905E+06    0.16584E+03
   707    0.17654E+04    0.35806E+02   -0.10009E+03    0.40805E+06    0.16643E+03
   708    0.17709E+04    0.35701E+02   -0.10140E+03    0.40705E+06    0.16702E+03
   709    0.17764E+04    0.35591E+02   -0.10271E+03    0.40606E+06    0.16759E+03
   710    0.17822E+04    0.35475E+02   -0.10400E+03    0.40507E+06    0.16815E+03
   711    0.17880E+04    0.35353E+02   -0.10525E+03    0.40408E+06    0.16871E+03
   712    0.17940E+04    0.35227E+02   -0.10649E+03    0.40310E+06    0.16926E+03
   713    0.18002E+04    0.35095E+02   -0.10770E+03    0.40212E+06    0.16979E+03
   714    0.18063E+04    0.34958E+02   -0.10888E+03    0.40115E+06    0.17032E+03
   715    0.18127E+04    0.34816E+02   -0.11005E+03    0.40017E+06    0.17083E+03
   716    0.18192E+04    0.34669E+02   -0.11119E+03    0.39920E+06    0.17134E+03
   717    0.18258E+04    0.34517E+02   -0.11229E+03    0.39824E+06    0.17184E+03
   718    0.18324E+04    0.34360E+02   -0.11338E+03    0.39728E+06    0.17232E+03
   719    0.18392E+04    0.34196E+02   -0.11442E+03    0.39632E+06    0.17280E+03
   720    0.18461E+04    0.34029E+02   -0.11546E+03    0.39536E+06    0.17326E+03
   721    0.18532E+04    0.33858E+02   -0.11644E+03    0.39441E+06    0.17372E+03
   722    0.18603E+04    0.33682E+02   -0.11741E+03    0.39346E+06    0.17417E+03
   723    0.18675E+04    0.33501E+02   -0.11835E+03    0.39251E+06    0.17460E+03
   724    0.18748E+04    0.33316E+02   -0.11926E+03    0.39157E+06    0.17502E+03
   725    0.18821E+04    0.33127E+02   -0.12014E+03    0.39063E+06    0.17544E+03
   726    0.18897E+04    0.32934E+02   -0.12098E+03    0.38970E+06    0.17584E+03
   727    0.18972E+04    0.32736E+02   -0.12180E+03    0.38877E+06    0.17623E+03
   728    0.19048E+04    0.32533E+02   -0.12258E+03    0.38784E+06    0.17661E+03
   729    0.19125E+04    0.32327E+02   -0.12334E+03    0.38691E+06    0.17698E+03
   730    0.19202E+04    0.32117E+02   -0.12406E+03    0.38599E+06    0.17734E+03
   731    0.19281E+04    0.31902E+02   -0.12475E+03    0.38507E+06    0.17769E+03
   732    0.19360E+04    0.31685E+02   -0.12540E+03    0.38415E+06    0.17802E+03
   733    0.19440E+04    0.31464E+02   -0.12603E+03    0.38324E+06    0.17835E+03
   734    0.19520E+04    0.31239E+02   -0.12661E+03    0.38233E+06    0.17866E+03
   735    0.19601E+04    0.31010E+02   -0.12718E+03    0.38142E+06    0.17896E+03
   736    0.19682E+04    0.30777E+02   -0.12769E+03    0.38052E+06    0.17925E+03
   737    0.19764E+04    0.30543E+02   -0.12819E+03    0.37962E+06    0.17953E+03
   738    0.19845E+04    0.30305E+02   -0.12863E+03    0.37872E+06    0.17980E+03
   739    0.19927E+04    0.30064E+02   -0.12905E+03    0.37783E+06    0.18005E+03
   740    0.20010E+04    0.29820E+02   -0.12944E+03    0.37694E+06    0.18030E+03
   741    0.20093E+04    0.29572E+02   -0.12979E+03    0.37605E+06    0.18053E+03
   742    0.20176E+04    0.29323E+02   -0.13010E+03    0.37516E+06    0.18075E+03
   743    0.20259E+04    0.29073E+02   -0.13038E+03    0.37428E+06    0.18095E+03
   744    0.20343E+04    0.28819E+02   -0.13062E+03    0.37340E+06    0.18115E+03
   745    0.20426E+04    0.28562E+02   -0.13083E+03    0.37253E+06    0.18133E+03
   746    0.20509E+04    0.28304E+02   -0.13099E+03    0.37165E+06    0.18150E+03
   747    0.20592E+04    0.28043E+02   -0.13113E+03    0.37078E+06    0.18165E+03
   748    0.20676E+04    0.27781E+02   -0.13124E+03    0.36992E+06    0.18180E+03
   749    0.20760E+04    0.27515E+02   -0.13131E+03    0.36905E+06    0.18193E+03
   750    0.20843E+04    0.27249E+02   -0.13134E+03    0.36819E+06    0.18205E+03
   751    0.20926E+04    0.26981E+02   -0.13134E+03    0.36733E+06    0.18215E+03
   752    0.21009E+04    0.26712E+02   -0.13129E+03    0.36648E+06    0.18225E+03
   753    0.21092E+04    0.26441E+02   -0.13121E+03    0.36562E+06    0.18233E+03
   754    0.21174E+04    0.26169E+02   -0.13109E+03    0.36477E+06    0.18240E+03
   755    0.21257E+04    0.25896E+02   -0.13095E+03    0.36393E+06    0.18245E+03
   756    0.21338E+04    0.25622E+02   -0.13076E+03    0.36308E+06    0.18249E+03
   757    0.21421E+04    0.25347E+02   -0.13054E+03    0.36224E+06    0.18253E+03
   758    0.21501E+04    0.25072E+02   -0.13027E+03    0.36140E+06    0.18254E+03
   759    0.21582E+04    0.24795E+02   -0.12998E+03    0.36056E+06    0.18255E+03
   760    0.21662E+04    0.24518E+02   -0.12966E+03    0.35973E+06    0.18255E+03
   761    0.21741E+04    0.24241E+02   -0.12929E+03    0.35890E+06    0.18253E+03
   762    0.21821E+04    0.23963E+02   -0.12889E+03    0.35807E+06    0.18250E+03
   763    0.21899E+04    0.23687E+02   -0.12846E+03    0.35725E+06    0.18246E+03
   764    0.21977E+04    0.23409E+02   -0.12799E+03    0.35643E+06    0.18241E+03
   765    0.22053E+04    0.23131E+02   -0.12749E+03    0.35561E+06    0.18235E+03
   766    0.22130E+04    0.22855E+02   -0.12695E+03    0.35479E+06    0.18227E+03
   767    0.22205E+04    0.22579E+02   -0.12638E+03    0.35397E+06    0.18219E+03
   768    0.22280E+04    0.22303E+02   -0.12576E+03    0.35316E+06    0.18209E+03
   769    0.22354E+04    0.22026E+02   -0.12512E+03    0.35235E+06    0.18198E+03
   770    0.22426E+04    0.21752E+02   -0.12445E+03    0.35155E+06    0.18186E+03
   771    0.22498E+04    0.21478E+02   -0.12373E+03    0.35074E+06    0.18173E+03
   772    0.22569E+04    0.21206E+02   -0.12298E+03    0.34994E+06    0.18159E+03
   773    0.22639E+04    0.20935E+02   -0.12220E+03    0.34914E+06    0.18144E+03
   774    0.22707E+04    0.20665E+02   -0.12140E+03    0.34835E+06    0.18128E+03
   775    0.22776E+04    0.20396E+02   -0.12055E+03    0.34755E+06    0.18111E+03
   776    0.22842E+04    0.20129E+02   -0.11968E+03    0.34676E+06    0.18093E+03
   777    0.22907E+04    0.19864E+02   -0.11877E+03    0.34598E+06    0.18074E+03
   778    0.22973E+04    0.19601E+02   -0.11783E+03    0.34519E+06    0.18054E+03
   779    0.23035E+04    0.19339E+02   -0.11686E+03    0.34441E+06    0.18033E+03
   780    0.23097E+04    0.19079E+02   -0.11586E+03    0.34363E+06    0.18011E+03
   781    0.23158E+04    0.18822E+02   -0.11483E+03    0.34285E+06    0.17988E+03
   782    0.23217E+04    0.18567E+02   -0.11379E+03    0.34207E+06    0.17964E+03
   783    0.23276E+04    0.18314E+02   -0.11269E+03    0.34130E+06    0.17939E+03
   784    0.23333E+04    0.18064E+02   -0.11157E+03    0.34053E+06    0.17913E+03
   785    0.23388E+04    0.17816E+02   -0.11043E+03    0.33976E+06    0.17886E+03
   786    0.23442E+04    0.17571E+02   -0.10923E+03    0.33899E+06    0.17858E+03
   787    0.23494E+04    0.17329E+02   -0.10802E+03    0.33823E+06    0.17830E+03
   788    0.23545E+04    0.17089E+02   -0.10679E+03    0.33747E+06    0.17800E+03
   789    0.23594E+04    0.16851E+02   -0.10554E+03    0.33671E+06    0.17770E+03
   790    0.23643E+04    0.16619E+02   -0.10425E+03    0.33595E+06    0.17739E+03
   791    0.23689E+04    0.16389E+02   -0.10292E+03    0.33520E+06    0.17706E+03
   792    0.23734E+04    0.16163E+02   -0.10159E+03    0.33445E+06    0.17673E+03
   793    0.23777E+04    0.15941E+02   -0.10022E+03    0.33370E+06    0.17640E+03
   794    0.23818E+04    0.15723E+02   -0.98827E+02    0.33295E+06    0.17605E+03
   795    0.23858E+04    0.15507E+02   -0.97408E+02    0.33221E+06    0.17570E+03
   796    0.23898E+04    0.15296E+02   -0.95975E+02    0.33147E+06    0.17533E+03
   797    0.23934E+04    0.15088E+02   -0.94512E+02    0.33073E+06    0.17496E+03
   798    0.23968E+04    0.14884E+02   -0.93033E+02    0.32999E+06    0.17458E+03
   799    0.24001E+04    0.14685E+02   -0.91532E+02    0.32925E+06    0.17420E+03
   800    0.24033E+04    0.14489E+02   -0.90008E+02    0.32852E+06    0.17380E+03
   801    0.24063E+04    0.14299E+02   -0.88469E+02    0.32779E+06    0.17340E+03
   802    0.24090E+04    0.14112E+02   -0.86892E+02    0.32706E+06    0.17299E+03
   803    0.24117E+04    0.13929E+02   -0.85315E+02    0.32633E+06    0.17258E+03
   804    0.24141E+04    0.13751E+02   -0.83708E+02    0.32561E+06    0.17215E+03
   805    0.24165E+04    0.13577E+02   -0.82086E+02    0.32489E+06    0.17172E+03
   806    0.24185E+04    0.13408E+02   -0.80448E+02    0.32417E+06    0.17129E+03
   807    0.24204E+04    0.13244E+02   -0.78794E+02    0.32345E+06    0.17084E+03
   808    0.24220E+04    0.13085E+02   -0.77118E+02    0.32273E+06    0.17039E+03
   809    0.24236E+04    0.12931E+02   -0.75434E+02    0.32202E+06    0.16993E+03
   810    0.24249E+04    0.12782E+02   -0.73726E+02    0.32131E+06    0.16946E+03
   811    0.24259E+04    0.12638E+02   -0.72004E+02    0.32060E+06    0.16899E+03
   812    0.24268E+04    0.12500E+02   -0.70272E+02    0.31989E+06    0.16851E+03
   813    0.24276E+04    0.12366E+02   -0.68529E+02    0.31919E+06    0.16802E+03
   814    0.24282E+04    0.12238E+02   -0.66772E+02    0.31849E+06    0.16753E+03
   815    0.24286E+04    0.12115E+02   -0.65004E+02    0.31779E+06    0.16703E+03
   816    0.24286E+04    0.11998E+02   -0.63225E+02    0.31709E+06    0.16652E+03
   817    0.24286E+04    0.11885E+02   -0.61435E+02    0.31639E+06    0.16601E+03
   818    0.24284E+04    0.11779E+02   -0.59635E+02    0.31570E+06    0.16549E+03
   819    0.24280E+04    0.11678E+02   -0.57827E+02    0.31501E+06    0.16497E+03
   820    0.24274E+04    0.11583E+02   -0.56009E+02    0.31432E+06    0.16444E+03
   821    0.24266E+04    0.11492E+02   -0.54186E+02    0.31363E+06    0.16390E+03
   822    0.24256E+04    0.11409E+02   -0.52354E+02    0.31294E+06    0.16335E+03
   823    0.24243E+04    0.11331E+02   -0.50516E+02    0.31226E+06    0.16280E+03
   824    0.24228E+04    0.11259E+02   -0.48671E+02    0.31158E+06    0.16225E+03
   825    0.24213E+04    0.11192E+02   -0.46823E+02    0.31090E+06    0.16169E+03
   826    0.24194E+04    0.11132E+02   -0.44970E+02    0.31022E+06    0.16112E+03
   827    0.24173E+04    0.11077E+02   -0.43114E+02    0.30954E+06    0.16054E+03
   828    0.24152E+04    0.11029E+02   -0.41254E+02    0.30887E+06    0.15997E+03
   829    0.24127E+04    0.10986E+02   -0.39393E+02    0.30820E+06    0.15938E+03
   830    0.24101E+04    0.10950E+02   -0.37532E+02    0.30753E+06    0.15879E+03
   831    0.24073E+04    0.10919E+02   -0.35670E+02    0.30686E+06    0.15819E+03
   832    0.24043E+04    0.10895E+02   -0.33809E+02    0.30620E+06    0.15759E+03
   833    0.24011E+04    0.10876E+02   -0.31948E+02    0.30553E+06    0.15698E+03
   834    0.23977E+04    0.10863E+02   -0.30088E+02    0.30487E+06    0.15637E+03
   835    0.23942E+04    0.10858E+02   -0.28230E+02    0.30421E+06    0.15575E+03
   836    0.23903E+04    0.10857E+02   -0.26375E+02    0.30355E+06    0.15513E+03
   837    0.23863E+04    0.10863E+02   -0.24524E+02    0.30290E+06    0.15450E+03
   838    0.23821E+04    0.10875E+02   -0.22677E+02    0.30224E+06    0.15387E+03
   839    0.23776E+04    0.10893E+02   -0.20833E+02    0.30159E+06    0.15323E+03
   840    0.23731E+04    0.10918E+02   -0.18995E+02    0.30094E+06    0.15259E+03
   841    0.23683E+04    0.10948E+02   -0.17165E+02    0.30029E+06    0.15194E+03
   842    0.23634E+04    0.10984E+02   -0.15339E+02    0.29964E+06    0.15129E+03
   843    0.23582E+04    0.11027E+02   -0.13524E+02    0.29900E+06    0.15063E+03
   844    0.23528E+04    0.11075E+02   -0.11715E+02    0.29836E+06    0.14997E+03
   845    0.23473E+04    0.11129E+02   -0.99155E+01    0.29771E+06    0.14930E+03
   846    0.23417E+04    0.11191E+02   -0.81262E+01    0.29708E+06    0.14863E+03
   847    0.23359E+04    0.11257E+02   -0.63467E+01    0.29644E+06    0.14796E+03
   848    0.23299E+04    0.11330E+02   -0.45788E+01    0.29580E+06    0.14728E+03
   849    0.23236E+04    0.11408E+02   -0.28219E+01    0.29517E+06    0.14659E+03
   850    0.23173E+04    0.11492E+02   -0.10770E+01    0.29454E+06    0.14590E+03
   851    0.23107E+04    0.11583E+02    0.65516E+00    0.29391E+06    0.14521E+03
   852    0.23040E+04    0.11680E+02    0.23743E+01    0.29328E+06    0.14451E+03
   853    0.22971E+04    0.11782E+02    0.40797E+01    0.29265E+06    0.14381E+03
   854    0.22900E+04    0.11890E+02    0.57698E+01    0.29203E+06    0.14311E+03
   855    0.22827E+04    0.12005E+02    0.74457E+01    0.29140E+06    0.14240E+03
   856    0.22754E+04    0.12123E+02    0.91055E+01    0.29078E+06    0.14169E+03
   857    0.22678E+04    0.12248E+02    0.10748E+02    0.29016E+06    0.14097E+03
   858    0.22600E+04    0.12381E+02    0.12375E+02    0.28955E+06    0.14025E+03
   859    0.22521E+04    0.12516E+02    0.13985E+02    0.28893E+06    0.13953E+03
   860    0.22441E+04    0.12657E+02    0.15575E+02    0.28831E+06    0.13880E+03
   861    0.22359E+04    0.12805E+02    0.17147E+02    0.28770E+06    0.13807E+03
   862    0.22275E+04    0.12958E+02    0.18701E+02    0.28709E+06    0.13733E+03
   863    0.22190E+04    0.13116E+02    0.20233E+02    0.28648E+06    0.13660E+03
   864    0.22104E+04    0.13279E+02    0.21746E+02    0.28587E+06    0.13585E+03
   865    0.22014E+04    0.13447E+02    0.23237E+02    0.28527E+06    0.13511E+03
   866    0.21927E+04    0.13621E+02    0.24707E+02    0.28466E+06    0.13436E+03
   867    0.21836E+04    0.13801E+02    0.26154E+02    0.28406E+06    0.13361E+03
   868    0.21744E+04    0.13984E+02    0.27579E+02    0.28346E+06    0.13286E+03
   869    0.21651E+04    0.14174E+02    0.28981E+02    0.28286E+06    0.13210E+03
   870    0.21556E+04    0.14367E+02    0.30360E+02    0.28227E+06    0.13134E+03
   871    0.21461E+04    0.14565E+02    0.31715E+02    0.28167E+06    0.13058E+03
